Action Required,SKU number,Product Barcode,Product Title (ENGLISH),Product Title (MALAY),Product Title (CHINESE),Brand (EN),Manufacturer / Principal (EN),Image URL (Google Drive Link),Product Price (RM),Limit on Item per checkout,Child Category (EN),Is Active?,Tags,Product Description (EN),Product Description (MY),Product Description (CN),,,,,,,,,,
Add New Item,303010001,9555022302065,MAMA EXPRESS CUP VEGE 60G,,,MAMEE,MAMEE,,1.60,,Cooking & Baking > Noodles & Pasta > Instant Cups,1,,,,,,,,,,,,,,
Add New Item,303010002,9555022302089,MAMA EXPRESS CUP CURRY 60G,,,MAMEE,MAMEE,,1.60,,Cooking & Baking > Noodles & Pasta > Instant Cups,1,,,,,,,,,,,,,,
Add New Item,303010003,9555022302089,MAMA EXPRESS CUP CHICKEN 60G,,,MAMEE,MAMEE,,1.60,,Cooking & Baking > Noodles & Pasta > Instant Cups,1,,,,,,,,,,,,,,
Add New Item,303010004,9555022302072,MAMA EXPRESS CUP TOMYUM 60G,,,MAMEE,MAMEE,,1.60,,Cooking & Baking > Noodles & Pasta > Instant Cups,1,,,,,,,,,,,,,,
Add New Item,303019995,9555022306933,MAMEE SLRP PERISA KARI BERAPI 5 x 81G,,,MAMEE,MAMEE,,6.70,,Cooking & Baking > Noodles & Pasta > Instant Noodles,1,,,,,,,,,,,,,,
Add New Item,303019996,9555022306940,MAMEE SLRP KARI BERAPI EXTRA PEDAS 5 x 81G,,,MAMEE,MAMEE,,6.70,,Cooking & Baking > Noodles & Pasta > Instant Noodles,1,,,,,,,,,,,,,,
Add New Item,303019997,9555022306681,MAMEE SLRP MI SEGERA KARI BERAPI EXTRA PEDAS 94G,,,MAMEE,MAMEE,,4.00,,Cooking & Baking > Noodles & Pasta > Instant Noodles,1,,,,,,,,,,,,,,
Add New Item,303019998,9555022306674,MAMEE SLRP PERISA KARI BERAPI 94G,,,MAMEE,MAMEE,,3.90,,Cooking & Baking > Noodles & Pasta > Instant Noodles,1,,,,,,,,,,,,,,
Add New Item,303060247,9555022302034,MAMEE PERISA AYAM 2MINS 5 x 79G,,,MAMEE,MAMEE,,4.40,,Cooking & Baking > Noodles & Pasta > Instant Noodles,1,,,,,,,,,,,,,,
Add New Item,303060248,9555022302027,MAMEE PERISA VEGE 2MINS 5 x 79G,,,MAMEE,MAMEE,,4.40,,Cooking & Baking > Noodles & Pasta > Instant Noodles,1,,,,,,,,,,,,,,
Add New Item,303060249,9555022302041,MAMEE PERISA KARI 2MINS 5 x 79G,,,MAMEE,MAMEE,,4.40,,Cooking & Baking > Noodles & Pasta > Instant Noodles,1,,,,,,,,,,,,,,
Add New Item,303060250,9555022302058,MAMEE PERISA ITIK 2MINS 5 x 79G,,,MAMEE,MAMEE,,4.40,,Cooking & Baking > Noodles & Pasta > Instant Noodles,1,,,,,,,,,,,,,,
